driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), S_HyperExpiry(1.010)(0e+00; 0.100)
MSN, 2.250e+03, 1.000e+05, 9.651e+04, 1.000, 55472.000000, 54006.000000
MSN, 2.300e+03, 1.000e+05, 9.651e+04, 1.000, 55389.000000, 54006.000000
MSN, 2.350e+03, 1.000e+05, 9.651e+04, 1.000, 55338.000000, 54006.000000
MSN, 2.400e+03, 1.000e+05, 9.651e+04, 1.000, 55282.000000, 54006.000000
MSN, 2.450e+03, 1.000e+05, 9.651e+04, 1.000, 55247.000000, 54006.000000
MSN, 2.500e+03, 1.000e+05, 9.651e+04, 1.000, 55209.000000, 54006.000000
MSN, 2.550e+03, 1.000e+05, 9.651e+04, 1.000, 55167.000000, 54006.000000
MSN, 2.600e+03, 1.000e+05, 9.651e+04, 1.000, 55119.000000, 54006.000000
MSN, 2.650e+03, 1.000e+05, 9.651e+04, 1.000, 55080.000000, 54006.000000
MSN, 2.700e+03, 1.000e+05, 9.651e+04, 1.000, 55041.000000, 54006.000000
MSN, 2.750e+03, 1.000e+05, 9.651e+04, 1.000, 54985.000000, 54006.000000
MSN, 2.800e+03, 1.000e+05, 9.651e+04, 1.000, 54964.000000, 54006.000000
MSN, 2.850e+03, 1.000e+05, 9.651e+04, 1.000, 54922.000000, 54006.000000
MSN, 2.900e+03, 1.000e+05, 9.651e+04, 1.000, 54890.000000, 54006.000000
MSN, 2.950e+03, 1.000e+05, 9.651e+04, 1.000, 54840.000000, 54006.000000
MSN, 3.000e+03, 1.000e+05, 9.651e+04, 1.000, 54805.000000, 54006.000000
MSN, 3.050e+03, 1.000e+05, 9.651e+04, 1.000, 54769.000000, 54006.000000
MSN, 3.100e+03, 1.000e+05, 9.651e+04, 1.000, 54768.000000, 54006.000000
MSN, 3.150e+03, 1.000e+05, 9.651e+04, 1.000, 54738.000000, 54006.000000
MSN, 3.200e+03, 1.000e+05, 9.651e+04, 1.000, 54693.000000, 54006.000000
MSN, 3.250e+03, 1.000e+05, 9.651e+04, 1.000, 54663.000000, 54006.000000
MSN, 3.300e+03, 1.000e+05, 9.651e+04, 1.000, 54616.000000, 54006.000000
MSN, 3.350e+03, 1.000e+05, 9.651e+04, 1.000, 54586.000000, 54006.000000
MSN, 3.400e+03, 1.000e+05, 9.651e+04, 1.000, 54558.000000, 54006.000000
MSN, 3.450e+03, 1.000e+05, 9.651e+04, 1.000, 54546.000000, 54006.000000
MSN, 3.500e+03, 1.000e+05, 9.651e+04, 1.000, 54508.000000, 54006.000000
MSN, 3.550e+03, 1.000e+05, 9.651e+04, 1.000, 54497.000000, 54006.000000
MSN, 3.600e+03, 1.000e+05, 9.651e+04, 1.000, 54482.000000, 54006.000000
MSN, 3.650e+03, 1.000e+05, 9.651e+04, 1.000, 54463.000000, 54006.000000
MSN, 3.700e+03, 1.000e+05, 9.651e+04, 1.000, 54413.000000, 54006.000000
MSN, 3.750e+03, 1.000e+05, 9.651e+04, 1.000, 54399.000000, 54006.000000
MSN, 3.800e+03, 1.000e+05, 9.651e+04, 1.000, 54386.000000, 54006.000000
MSN, 3.850e+03, 1.000e+05, 9.651e+04, 1.000, 54360.000000, 54006.000000
MSN, 3.900e+03, 1.000e+05, 9.651e+04, 1.000, 54352.000000, 54006.000000
MSN, 3.950e+03, 1.000e+05, 9.651e+04, 1.000, 54341.000000, 54006.000000
MSN, 4.000e+03, 1.000e+05, 9.651e+04, 1.000, 54326.000000, 54006.000000
MSN, 4.050e+03, 1.000e+05, 9.651e+04, 1.000, 54287.000000, 54006.000000
MSN, 4.100e+03, 1.000e+05, 9.651e+04, 1.000, 54266.000000, 54006.000000
MSN, 4.150e+03, 1.000e+05, 9.651e+04, 1.000, 54275.000000, 54006.000000
MSN, 4.200e+03, 1.000e+05, 9.651e+04, 1.000, 54263.000000, 54006.000000
MSN, 4.250e+03, 1.000e+05, 9.651e+04, 1.000, 54239.000000, 54006.000000
MSN, 4.300e+03, 1.000e+05, 9.651e+04, 1.000, 54229.000000, 54006.000000
MSN, 4.350e+03, 1.000e+05, 9.651e+04, 1.000, 54212.000000, 54006.000000
MSN, 4.400e+03, 1.000e+05, 9.651e+04, 1.000, 54211.000000, 54006.000000
MSN, 4.450e+03, 1.000e+05, 9.651e+04, 1.000, 54198.000000, 54006.000000
MSN, 4.500e+03, 1.000e+05, 9.651e+04, 1.000, 54181.000000, 54006.000000
MSN, 4.550e+03, 1.000e+05, 9.651e+04, 1.000, 54159.000000, 54006.000000
MSN, 4.600e+03, 1.000e+05, 9.651e+04, 1.000, 54151.000000, 54006.000000
